time,code,class
0,NO FEED,1
0, Walk,2
0,NO CLEAN,3
0,ON Leaf,4
10.162624, Probe/Feed,1
10.162624,STILL,2
37.397712,NO FEED,1
37.397712, Walk,2
41.092272, OFF Leaf,4
57.678368,ON Leaf,4
76.486544, OFF Leaf,4
115.756816,ON Leaf,4
133.270816, OFF Leaf,4
147.699024,ON Leaf,4
157.990928, OFF Leaf,4
171.466384,ON Leaf,4
178.159392, OFF Leaf,4
187.765808,ON Leaf,4
207.794, OFF Leaf,4
221.407824,ON Leaf,4
232.733264, OFF Leaf,4
243.390064,ON Leaf,4
254.138592, OFF Leaf,4
270.904784,ON Leaf,4
300.289227,END,0
