time,code,class
0, Probe/Feed,1
0,STILL,2
0,NO CLEAN,3
0,ON Leaf,4
10.546512,NO FEED,1
10.546512, Walk,2
22.619136, Probe/Feed,1
22.95584,STILL,2
26.71864, Walk,2
26.71864,NO FEED,1
31.430272, Probe/Feed,1
31.430272,STILL,2
53.789856,NO FEED,1
53.789856, Walk,2
66.231616, Probe/Feed,1
66.231616,STILL,2
92.21888,NO FEED,1
92.21888, Walk,2
102.010992, Probe/Feed,1
102.010992,STILL,2
103.564144, Walk,2
103.83256,NO FEED,1
109.37104, Probe/Feed,1
109.37104,STILL,2
225.075616, Walk,2
225.075616,NO FEED,1
244.80864, Probe/Feed,1
245.441488,STILL,2
262.924816, Walk,2
262.924816,NO FEED,1
269.36312, Probe/Feed,1
269.36312,STILL,2
300.37365,END,0
