psyllid,sex,variety,plant_number,d_probes,d_walks,d_cleans,d_off,i_probes,i_walks,i_cleans,i_off,file,plant_size,mins_away
12,m,10LB,1,290.9,9.4,64.23,0,2,1,1,0,10LB_p1_t1.csv,26,10
13,f,10LB,1,270.1,29.9,103.25,0,3,2,2,0,10LB_p1_t2.csv,26,39
100,m,10LB,2,300,0,73.12,0,1,0,1,0,10LB_p2_t1.csv,18,11
101,m,10LB,2,300,0,0,0,1,0,0,0,10LB_p2_t2.csv,18,17
102,f,10LB,2,300,0,0,0,1,0,0,0,10LB_p2_t3.csv,18,32
152,m,10LB,3,300,0,0,0,1,0,0,0,10LB_p3_t1.csv,24.5,46
153,f,10LB,3,300,0,100.41,0,1,0,3,0,10LB_p3_t2.csv,24.5,16
154,f,10LB,3,300,0,0,0,1,0,0,0,10LB_p3_t3.csv,24.5,26
155,f,10LB,3,300,0,111.4,0,1,0,2,0,10LB_p3_t4.csv,24.5,36
156,m,10LB,3,276.5,23.5,132.99,0,1,1,2,0,10LB_p3_t5.csv,24.5,47
157,m,10LB,3,272.3,27.3,1.66,0,2,1,1,0,10LB_p3_t6.csv,24.5,55
158,m,10LB,3,289.9,10.2,0,0,2,1,0,0,10LB_p3_t7.csv,24.5,63
159,m,10LB,4,300,0,226.85,0,1,0,2,0,10LB_p4_t1.csv,27,12
160,f,10LB,4,300,0,0,0,1,0,0,0,10LB_p4_t2.csv,27,20
161,f,10LB,4,289.7,10.7,0,0,2,1,0,0,10LB_p4_t3.csv,27,27
162,f,10LB,4,0,297.6,0,287.48,0,1,0,1,10LB_p4_t4.csv,27,33
163,m,10LB,4,197.2,103.1,0,22.5,2,1,0,1,10LB_p4_t5.csv,27,41
164,m,10LB,4,300,0,0,0,1,0,0,0,10LB_p4_t6.csv,27,49
165,f,10LB,4,263.5,37.6,35.21,0,4,3,1,0,10LB_p4_t7.csv,27,56
166,f,10LB,5,0,300,300,0,0,1,1,0,10LB_p5_t1.csv,18,66
167,m,10LB,5,300,0,0,0,1,0,0,0,10LB_p5_t2.csv,18,14
168,m,10LB,5,300,0,0,0,1,0,0,0,10LB_p5_t3.csv,18,30
169,f,10LB,5,300,0,0,0,1,0,0,0,10LB_p5_t4.csv,18,40
170,m,10LB,5,284.1,15.9,36.58,0,1,1,1,0,10LB_p5_t5.csv,18,47
171,f,10LB,5,300,0,0,0,1,0,0,0,10LB_p5_t6.csv,18,54
172,m,10LB,5,279.7,20,0,0,1,1,0,0,10LB_p5_t7.csv,18,61
173,f,10LB,6,300,0,0,0,1,0,0,0,10LB_p6_t1.csv,15.5,11
174,m,10LB,6,0,300,300,0,0,1,1,0,10LB_p6_t2.csv,15.5,35
175,m,10LB,6,288.3,0,0,0,2,0,0,0,10LB_p6_t3.csv,15.5,45
176,m,10LB,6,300,0,0,0,1,0,0,0,10LB_p6_t4.csv,15.5,55
177,f,10LB,6,290.7,9.7,0,0,2,1,0,0,10LB_p6_t5.csv,15.5,65
178,m,10LB,6,300,0,0,0,1,0,0,0,10LB_p6_t6.csv,15.5,15
179,f,10LB,6,300,0,0,0,1,0,0,0,10LB_p6_t7.csv,15.5,24
180,f,10LB,7,290.7,9.7,0,0,2,1,0,0,10LB_p7_t1.csv,15,32
