 variety sex         rate           SE  df    asymp.LCL    asymp.UCL
 10LB    m   1.873577e-04 3.716931e-04 Inf 3.837062e-06 0.0091483759
 3LB     m   2.881029e-04 5.699961e-04 Inf 5.963365e-06 0.0139188681
 4LB     m   1.369720e-06 4.163570e-06 Inf 3.541727e-09 0.0005297227
 RB      m   1.177283e-06 3.565562e-06 Inf 3.111004e-09 0.0004455136
 10LB    f   1.449855e-04 2.934050e-04 Inf 2.746379e-06 0.0076540014
 3LB     f   2.229466e-04 4.272850e-04 Inf 5.210060e-06 0.0095402287
 4LB     f   1.059949e-06 3.161412e-06 Inf 3.065381e-09 0.0003665096
 RB      f   9.110325e-07 2.714769e-06 Inf 2.648832e-09 0.0003133382

Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
