file,d_probes,d_walks,d_cleans,d_off
10LB_p1_t1.csv,290.9,9.4,64.23,0
10LB_p1_t2.csv,270.1,29.9,103.25,0
10LB_p2_t1.csv,300,0,73.12,0
10LB_p2_t2.csv,300,0,0,0
10LB_p2_t3.csv,300,0,0,0
10LB_p3_t1.csv,300,0,0,0
10LB_p3_t2.csv,300,0,100.41,0
10LB_p3_t3.csv,300,0,0,0
10LB_p3_t4.csv,300,0,111.4,0
10LB_p3_t5.csv,276.5,23.5,132.99,0
10LB_p3_t6.csv,272.3,27.3,1.66,0
10LB_p3_t7.csv,289.9,10.2,0,0
10LB_p4_t1.csv,300,0,226.85,0
10LB_p4_t2.csv,300,0,0,0
10LB_p4_t3.csv,289.7,10.7,0,0
10LB_p4_t4.csv,0,297.6,0,287.48
10LB_p4_t5.csv,197.2,103.1,0,22.5
10LB_p4_t6.csv,300,0,0,0
10LB_p4_t7.csv,263.5,37.6,35.21,0
10LB_p5_t1.csv,0,300,300,0
10LB_p5_t2.csv,300,0,0,0
10LB_p5_t3.csv,300,0,0,0
10LB_p5_t4.csv,300,0,0,0
10LB_p5_t5.csv,284.1,15.9,36.58,0
10LB_p5_t6.csv,300,0,0,0
10LB_p5_t7.csv,279.7,20,0,0
10LB_p6_t1.csv,300,0,0,0
10LB_p6_t2.csv,0,300,300,0
10LB_p6_t3.csv,288.3,0,0,0
10LB_p6_t4.csv,300,0,0,0
10LB_p6_t5.csv,290.7,9.7,0,0
10LB_p6_t6.csv,300,0,0,0
10LB_p6_t7.csv,300,0,0,0
10LB_p7_t1.csv,290.7,9.7,0,0
10LB_p7_t2.csv,300,0,0,0
10LB_p7_t3.csv,259.1,25.2,0,0
10LB_p7_t4.csv,300,0,76.11,0
10LB_p7_t5.csv,300,0,0,0
10LB_p7_t6.csv,28,271.9,0,249.66
10LB_p7_t7.csv,259.5,40.5,0,4.02
10LB_p8_t1.csv,300,0,0,0
10LB_p8_t2.csv,174.1,126,0,119.13
10LB_p8_t3.csv,300,0.6,231.69,0
10LB_p8_t4.csv,300,0,0,0
10LB_p8_t5.csv,300,0,145.65,0
10LB_p8_t6.csv,300,0,0,0
3LB_p1_t1.csv,232.1,67.7,0,0
3LB_p10_t1.csv,300,0,0,0
3LB_p10_t2.csv,300,0,8.61,0
3LB_p11_t1.csv,287.5,13.2,120.46,0
3LB_p11_t2.csv,222.2,78.4,0,0
3LB_p11_t3.csv,284.5,16.6,0,0
3LB_p11_t4.csv,300,0,0,0
3LB_p11_t5.csv,300,0,0,0
3LB_p11_t6.csv,221.7,78.3,0,5.85
3LB_p12_t1.csv,283.1,16.9,0,0
3LB_p12_t2.csv,35.5,110.2,0,191.13
3LB_p12_t3.csv,300,0,0,0
3LB_p13_t1.csv,300,0,0,0
3LB_p13_t2.csv,66.7,233.3,0,225.51
3LB_p13_t3.csv,53.2,246,0,225.67
3LB_p14_t1.csv,261.2,40.4,0,0
3LB_p14_t2.csv,300,0,48.31,0
3LB_p14_t3.csv,267.9,31.7,0,0
3LB_p15_t1.csv,300,0,36.54,0
3LB_p15_t2.csv,300,0,0,0
3LB_p15_t3.csv,300,0,0,0
3LB_p16_t1.csv,292.6,6.5,0,0
3LB_p16_t2.csv,300,0,63.23,0
3LB_p16_t3.csv,300,0,110.76,0
3LB_p17_t1.csv,300,0,0,0
3LB_p17_t2.csv,2.1,289.8,0,281.61
3LB_p17_t3.csv,262,37.2,0,0
3LB_p18_t1.csv,289.2,10.8,0,7.09
3LB_p18_t2.csv,300,0,0,0
3LB_p18_t3.csv,300,0,158.63,0
3LB_p19_t1.csv,195.5,34.6,0,0
3LB_p19_t2.csv,300,0,92.66,0
3LB_p19_t3.csv,300,0,0,0
3LB_p2_t1.csv,0,13.8,0,183.16
3LB_p2_t2.csv,287.3,0,0,0
3LB_p20_t1.csv,300,0,0,0
3LB_p20_t2.csv,300,0,0,0
3LB_p20_t3.csv,300,0,0,0
3LB_p3_t1.csv,300,0,0,0
3LB_p4_t1.csv,249.8,51.7,0,0
3LB_p5_t1.csv,300,0,300,0
3LB_p6_t1.csv,300,0,0,0
3LB_p7_t1.csv,292.2,8,0,0
3LB_p7_t2.csv,300,0,0,0
3LB_p7_t3.csv,277.9,22.7,0,0
3LB_p8_t1.csv,278.5,21.8,0,0
3LB_p8_t2.csv,241.6,58.8,28.48,0
3LB_p9_t1.csv,272.5,28.4,0,0
4LB_p1_t1.csv,143.3,156.8,0,0
4LB_p10_t1.csv,300,0,0,0
4LB_p10_t2.csv,257.8,39.7,0,0
4LB_p10_t3.csv,300,0,97.88,0
4LB_p11_t1.csv,290.7,9.6,0,0
4LB_p11_t2.csv,180.8,119.4,0,0
4LB_p11_t3.csv,240,60.3,0,0
4LB_p12_t1.csv,237.9,58.7,0,0
4LB_p12_t2.csv,300,0,0,0
4LB_p12_t3.csv,203.6,96.7,0,0
4LB_p12_t4.csv,148.5,151.7,0,106.28
4LB_p13_t1.csv,290.7,0,0,0
4LB_p13_t2.csv,288.3,11.9,0,0
4LB_p13_t3.csv,300,0,0,0
4LB_p14_t1.csv,250.5,49.5,0,0
4LB_p14_t2.csv,264.6,35.4,0,0
4LB_p14_t3.csv,280.1,9.5,0,0
4LB_p15_t1.csv,207.5,92.5,0,19.12
4LB_p15_t2.csv,26.9,273.1,0,134.11
4LB_p15_t3.csv,300,0,0,0
4LB_p16_t1.csv,300,0,0,0
4LB_p16_t2.csv,300,0,0,0
4LB_p16_t3.csv,300,0,0,0
4LB_p17_t1.csv,290.9,9.1,0,0
4LB_p17_t2.csv,292.3,7.7,0,0
4LB_p17_t3.csv,300,0,120.51,0
4LB_p18_t1.csv,300,0,8.58,0
4LB_p18_t2.csv,262.2,37.8,0,0
4LB_p18_t3.csv,300,0,0,0
4LB_p2_t1.csv,300,0,262.23,0
4LB_p2_t2.csv,96.6,203.4,0,167.46
4LB_p3_t1.csv,277.2,7,0,0
4LB_p3_t2.csv,300,0,67.61,0
4LB_p4_t1.csv,300,0,80.95,0
4LB_p5_t1.csv,25.3,0,133.13,0
4LB_p6_t1.csv,264.9,15.4,289.12,0
4LB_p7_t1.csv,164.5,105.1,0,0
4LB_p8_t1.csv,265.6,17.1,227.45,0
4LB_p8_t2.csv,284.6,15.8,0,0
4LB_p8_t3.csv,269.9,30.9,0,0
4LB_p9_t1.csv,253,47,0,0
4LB_p9_t2.csv,300,0,202.47,0
4LB_p9_t3.csv,300,0,0,0
RB_p1_t1.csv,290.3,8,0,0
RB_p2_t1.csv,300,0,0,0
RB_p3_t1.csv,146.7,153.8,0,0
RB_p3_t2.csv,246.2,58.5,0,0
RB_p3_t3.csv,283,20.5,23.27,0
RB_p4_t1.csv,300,0,0,0
RB_p4_t2.csv,248.9,51.4,0,0
RB_p4_t3.csv,227.1,74.7,0,0
RB_p4_t4.csv,255.4,44.6,2.01,0
RB_p4_t5.csv,289,11,0,0
RB_p4_t6.csv,246.5,53.8,0,0
RB_p4_t7.csv,260.7,40.3,0,3.72
RB_p4_t8.csv,293.8,6.2,0,0
RB_p5_t1.csv,278.2,9,0,0
RB_p5_t2.csv,249,51.2,0,0
RB_p5_t3.csv,300,0,0,0
RB_p5_t4.csv,219.2,45.3,0,0
RB_p5_t5.csv,275.2,25.2,0,0
RB_p5_t6.csv,201.5,63.8,0,19.42
RB_p5_t7.csv,229.6,72,0,0
RB_p5_t8.csv,300,0,0,0
RB_p5_t9.csv,295.2,4.3,0,0
RB_p6_t1.csv,287,12.8,3.72,0
RB_p6_t10.csv,300,0,0,0
RB_p6_t2.csv,193.4,117.8,0,0
RB_p6_t3.csv,300,0,0,0
RB_p6_t4.csv,300,0,0,0
RB_p6_t5.csv,196.5,118.7,0,14.39
RB_p6_t6.csv,300,0,241.87,0
RB_p6_t7.csv,300,0,0,0
RB_p6_t8.csv,300,0,0,0
RB_p6_t9.csv,230.2,56.7,0,0
RB_p7_t1.csv,227.4,109,0,0
RB_p7_t10.csv,300,0,0,0
RB_p7_t11.csv,300,0,0,0
RB_p7_t12.csv,270.7,27.5,0,0
RB_p7_t13.csv,206.4,99.2,0,48.21
RB_p7_t2.csv,300,0,0,0
RB_p7_t3.csv,288.3,12.6,0,0
RB_p7_t4.csv,282.5,20.2,0,0
RB_p7_t5.csv,290.4,11,74.46,0
RB_p7_t6.csv,300,0,0,0
RB_p7_t7.csv,300,0,70.72,0
RB_p7_t8.csv,300,0,0,0
RB_p7_t9.csv,130.6,172.2,0,0
