 germ period      rate        SE  df asymp.LCL asymp.UCL
 3LB  1       4.787645 1.4344866 Inf  2.661232  8.613133
 4LB  1       8.364958 2.0201960 Inf  5.210659 13.428729
 RB   1       5.797593 1.6555635 Inf  3.312670 10.146523
 10LB 1       6.307611 1.5009946 Inf  3.956473 10.055915
 3LB  2       9.467119 2.7676316 Inf  5.337972 16.790335
 4LB  2      10.529415 2.5528302 Inf  6.546853 16.934638
 RB   2       7.638090 2.1554086 Inf  4.393215 13.279665
 10LB 2       6.952892 1.6715915 Inf  4.340327 11.138035
 3LB  3       9.050335 2.6502685 Inf  5.098023 16.066732
 4LB  3       7.972583 2.0063362 Inf  4.868446 13.055928
 RB   3       6.993913 1.9804910 Inf  4.014972 12.183105
 10LB 3       9.442678 2.2575838 Inf  5.909998 15.087004
 3LB  4       4.280652 1.3177658 Inf  2.341392  7.826107
 4LB  4       6.877702 1.7794296 Inf  4.142063 11.420102
 RB   4       6.614787 1.8828536 Inf  3.786407 11.555920
 10LB 4       3.800651 0.9694896 Inf  2.305309  6.265949

Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
