psyllid,germ,block,letter,egg_1,egg_2,egg_3,egg_4,nym_1,nym_2,nym_3,nym_4,ht_1,ht_2,ht_3,ht_4,tot_egg,tot_nym,percent
101,3LB,1,A,0,1,0,0,0,0,0,0,NA,0,NA,NA,1,0,0
102,4LB,2,A,0,27,NA,NA,0,10,0,0,NA,0.37037037037037035,NA,NA,27,10,0.37037037037037035
103,4LB,1,B,15,46,NA,NA,11,32,0,0,0.7333333333333333,0.6956521739130435,NA,NA,61,43,0.7049180327868853
105,4LB,1,C,0,12,0,0,0,2,0,0,NA,0.16666666666666666,NA,NA,12,2,0.16666666666666666
114,4LB,4,O,0,10,19,0,0,7,0,0,NA,0.7,0,NA,29,7,0.2413793103448276
115,3LB,1,P,6,10,7,21,6,10,1,0,1,1,0.14285714285714285,0,44,17,0.38636363636363635
118,RB,4,P,0,21,0,26,0,15,0,24,NA,0.7142857142857143,NA,0.9230769230769231,47,39,0.8297872340425532
119,3LB,1,Q,0,17,21,NA,0,4,21,0,NA,0.23529411764705882,1,NA,38,25,0.6578947368421053
120,4LB,2,Q,9,2,NA,NA,9,0,0,0,1,0,NA,NA,11,9,0.8181818181818182
124,3LB,2,R,0,0,0,15,0,0,0,0,NA,NA,NA,0,15,0,0
126,RB,4,R,0,0,0,3,0,0,0,0,NA,NA,NA,0,3,0,0
127,RB,1,S,0,10,8,3,0,8,7,28,NA,0.8,0.875,9.333333333333334,21,43,2.0476190476190474
128,10LB,2,S,17,6,14,19,17,0,3,0,1,0,0.21428571428571427,0,56,20,0.35714285714285715
130,4LB,4,S,9,45,22,14,6,49,49,16,0.6666666666666666,1.0888888888888888,2.227272727272727,1.1428571428571428,90,120,1.3333333333333333
131,10LB,1,T,0,7,53,0,0,3,46,0,NA,0.42857142857142855,0.8679245283018868,NA,60,49,0.8166666666666667
132,RB,2,T,24,21,40,24,0,0,8,0,0,0,0.2,0,109,8,0.07339449541284404
133,4LB,3,T,0,10,23,39,0,14,21,13,NA,1.4,0.9130434782608695,0.3333333333333333,72,48,0.6666666666666666
135,10LB,1,U,0,35,0,15,0,22,0,0,NA,0.6285714285714286,NA,0,50,22,0.44
136,10LB,2,U,0,0,12,13,0,0,2,0,NA,NA,0.16666666666666666,0,25,2,0.08
138,RB,4,U,0,1,0,0,0,0,0,0,NA,0,NA,NA,1,0,0
139,10LB,1,V,0,5,10,0,0,0,0,0,NA,0,0,NA,15,0,0
140,RB,2,V,2,26,5,2,0,7,6,0,0,0.2692307692307692,1.2,0,35,13,0.37142857142857144
