 germ period       prob         SE  df   asymp.LCL asymp.UCL
 3LB  1      0.65938728 0.12771676 Inf 0.388416742 0.8550910
 4LB  1      0.62293751 0.10482435 Inf 0.407900524 0.7984640
 RB   1      0.46970394 0.13000933 Inf 0.241523845 0.7112941
 10LB 1      0.68808379 0.09187678 Inf 0.488040194 0.8361971
 3LB  2      0.61017068 0.12639872 Inf 0.355835895 0.8160097
 4LB  2      0.64059650 0.10105317 Inf 0.429887834 0.8081784
 RB   2      0.50929947 0.12653628 Inf 0.277846818 0.7368329
 10LB 2      0.59485153 0.10889072 Inf 0.377188698 0.7806768
 3LB  3      0.55710757 0.13323046 Inf 0.303881511 0.7837652
 4LB  3      0.49591275 0.12221786 Inf 0.273967797 0.7194803
 RB   3      0.63913193 0.11918025 Inf 0.391460411 0.8298232
 10LB 3      0.61790002 0.10662363 Inf 0.400235452 0.7966963
 3LB  4      0.11927328 0.06783570 Inf 0.036791446 0.3243931
 4LB  4      0.29185207 0.10391748 Inf 0.133323102 0.5247495
 RB   4      0.70056651 0.10913081 Inf 0.457691326 0.8664160
 10LB 4      0.03148472 0.01966037 Inf 0.009103677 0.1031604

Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
