file,plant_number,i_probes,i_walks,i_cleans,i_off,psyllid,mins_away,sex,variety,plant_size
10LB_p1_t1.csv,1,2,1,1,0,12,10,m,10LB,26
10LB_p1_t2.csv,1,3,2,2,0,13,39,f,10LB,26
10LB_p2_t1.csv,2,1,0,1,0,100,11,m,10LB,18
10LB_p2_t2.csv,2,1,0,0,0,101,17,m,10LB,18
10LB_p2_t3.csv,2,1,0,0,0,102,32,f,10LB,18
10LB_p3_t1.csv,3,1,0,0,0,152,46,m,10LB,24.5
10LB_p3_t2.csv,3,1,0,3,0,153,16,f,10LB,24.5
10LB_p3_t3.csv,3,1,0,0,0,154,26,f,10LB,24.5
10LB_p3_t4.csv,3,1,0,2,0,155,36,f,10LB,24.5
10LB_p3_t5.csv,3,1,1,2,0,156,47,m,10LB,24.5
10LB_p3_t6.csv,3,2,1,1,0,157,55,m,10LB,24.5
10LB_p3_t7.csv,3,2,1,0,0,158,63,m,10LB,24.5
10LB_p4_t1.csv,4,1,0,2,0,159,12,m,10LB,27
10LB_p4_t2.csv,4,1,0,0,0,160,20,f,10LB,27
10LB_p4_t3.csv,4,2,1,0,0,161,27,f,10LB,27
10LB_p4_t4.csv,4,0,1,0,1,162,33,f,10LB,27
10LB_p4_t5.csv,4,2,1,0,1,163,41,m,10LB,27
10LB_p4_t6.csv,4,1,0,0,0,164,49,m,10LB,27
10LB_p4_t7.csv,4,4,3,1,0,165,56,f,10LB,27
10LB_p5_t1.csv,5,0,1,1,0,166,66,f,10LB,18
10LB_p5_t2.csv,5,1,0,0,0,167,14,m,10LB,18
10LB_p5_t3.csv,5,1,0,0,0,168,30,m,10LB,18
10LB_p5_t4.csv,5,1,0,0,0,169,40,f,10LB,18
10LB_p5_t5.csv,5,1,1,1,0,170,47,m,10LB,18
10LB_p5_t6.csv,5,1,0,0,0,171,54,f,10LB,18
10LB_p5_t7.csv,5,1,1,0,0,172,61,m,10LB,18
10LB_p6_t1.csv,6,1,0,0,0,173,11,f,10LB,15.5
10LB_p6_t2.csv,6,0,1,1,0,174,35,m,10LB,15.5
10LB_p6_t3.csv,6,2,0,0,0,175,45,m,10LB,15.5
10LB_p6_t4.csv,6,1,0,0,0,176,55,m,10LB,15.5
10LB_p6_t5.csv,6,2,1,0,0,177,65,f,10LB,15.5
10LB_p6_t6.csv,6,1,0,0,0,178,15,m,10LB,15.5
10LB_p6_t7.csv,6,1,0,0,0,179,24,f,10LB,15.5
10LB_p7_t1.csv,7,2,1,0,0,180,32,f,10LB,15
10LB_p7_t2.csv,7,1,0,0,0,181,40,m,10LB,15
10LB_p7_t3.csv,7,3,1,0,0,182,51,m,10LB,15
10LB_p7_t4.csv,7,1,0,2,0,183,59,m,10LB,15
10LB_p7_t5.csv,7,1,0,0,0,184,67,f,10LB,15
10LB_p7_t6.csv,7,1,1,0,1,185,15,f,10LB,15
10LB_p7_t7.csv,7,4,4,0,1,186,26,f,10LB,15
10LB_p8_t1.csv,8,1,0,0,0,187,35,f,10LB,13
10LB_p8_t2.csv,8,2,1,0,1,188,50,m,10LB,13
10LB_p8_t3.csv,8,1,1,3,0,189,58,f,10LB,13
10LB_p8_t4.csv,8,1,0,0,0,190,68,m,10LB,13
10LB_p8_t5.csv,8,1,0,2,0,191,19,m,10LB,13
10LB_p8_t6.csv,8,1,0,0,0,192,27,m,10LB,13
3LB_p1_t1.csv,1,3,3,0,0,11,11,m,3LB,30
3LB_p10_t1.csv,10,1,0,0,0,33,69,f,3LB,31
3LB_p10_t2.csv,10,1,0,2,0,34,89,m,3LB,31
3LB_p11_t1.csv,11,2,1,2,0,35,10,f,3LB,20
3LB_p11_t2.csv,11,3,2,0,0,36,16,f,3LB,20
3LB_p11_t3.csv,11,2,1,0,0,37,27,f,3LB,20
3LB_p11_t4.csv,11,1,0,0,0,38,38,f,3LB,20
3LB_p11_t5.csv,11,1,0,0,0,39,10,f,3LB,20
3LB_p11_t6.csv,11,2,2,0,1,40,9,f,3LB,20
3LB_p12_t1.csv,12,2,1,0,0,41,26,f,3LB,30
3LB_p12_t2.csv,12,2,2,0,2,42,43,m,3LB,30
