 variety sex       rate         SE  df   asymp.LCL asymp.UCL
 10LB    m   0.04978604 0.03501397 Inf 0.012544895 0.1975824
 3LB     m   0.08576598 0.05458305 Inf 0.024637396 0.2985626
 4LB     m   0.07654168 0.05671064 Inf 0.017915651 0.3270118
 RB      m   0.04397906 0.03437031 Inf 0.009506459 0.2034572
 10LB    f   0.03220526 0.02302889 Inf 0.007929787 0.1307953
 3LB     f   0.05547973 0.03537038 Inf 0.015902368 0.1935561
 4LB     f   0.04951277 0.03603901 Inf 0.011889145 0.2061977
 RB      f   0.02844888 0.02082448 Inf 0.006776237 0.1194378

Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
