 germ period      rate        SE  df asymp.LCL asymp.UCL
 3LB  1      2.0086287 0.9282790 Inf 0.8119337 4.9691117
 4LB  1      3.9595239 1.4656724 Inf 1.9167213 8.1795038
 RB   1      2.4492629 1.0685773 Inf 1.0415226 5.7597294
 10LB 1      2.8868561 1.0466441 Inf 1.4184622 5.8753332
 3LB  2      3.8027105 1.7339203 Inf 1.5558626 9.2942697
 4LB  2      4.7393955 1.7606262 Inf 2.2882961 9.8159807
 RB   2      3.3721720 1.4558198 Inf 1.4468803 7.8593538
 10LB 2      3.4872794 1.2696083 Inf 1.7084062 7.1183992
 3LB  3      3.2979267 1.5086452 Inf 1.3454161 8.0839827
 4LB  3      3.1100380 1.1848010 Inf 1.4739804 6.5620524
 RB   3      3.0172061 1.3068960 Inf 1.2909486 7.0518165
 10LB 3      4.6803020 1.6984325 Inf 2.2981680 9.5316039
 3LB  4      0.4441503 0.2361636 Inf 0.1566496 1.2593047
 4LB  4      2.1164671 0.8333056 Inf 0.9783007 4.5787896
 RB   4      3.4526927 1.4932331 Inf 1.4792010 8.0591393
 10LB 4      0.4047467 0.1822743 Inf 0.1674371 0.9783963

Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
